,song,artist,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
30,girls want girls (with lil baby),drake,0.181,https://api.spotify.com/v1/audio-analysis/37Nqx7iavZpotJSDXZWbJ3,0.767,221980.0,0.438,37Nqx7iavZpotJSDXZWbJ3,0.0,7.0,0.142,-8.726,0.0,0.29,86.975,4.0,https://api.spotify.com/v1/tracks/37Nqx7iavZpotJSDXZWbJ3,audio_features,spotify:track:37Nqx7iavZpotJSDXZWbJ3,0.381
31,cold as you,luke combs,0.0527,https://api.spotify.com/v1/audio-analysis/7IWV29mryrqtO0JVgnPtfv,0.598,186107.0,0.846,7IWV29mryrqtO0JVgnPtfv,0.0,6.0,0.113,-4.956,1.0,0.0355,144.04,4.0,https://api.spotify.com/v1/tracks/7IWV29mryrqtO0JVgnPtfv,audio_features,spotify:track:7IWV29mryrqtO0JVgnPtfv,0.328
32,ghost,justin bieber,0.185,https://api.spotify.com/v1/audio-analysis/6I3mqTwhRpn34SLVafSH7G,0.601,153190.0,0.741,6I3mqTwhRpn34SLVafSH7G,2.91E-05,2.0,0.415,-5.569,1.0,0.0478,153.96,4.0,https://api.spotify.com/v1/tracks/6I3mqTwhRpn34SLVafSH7G,audio_features,spotify:track:6I3mqTwhRpn34SLVafSH7G,0.441
33,love nwantiti (ah ah ah),ckay,0.365,https://api.spotify.com/v1/audio-analysis/2Xr1dTzJee307rmrkt8c0g,0.727,145800.0,0.739,2Xr1dTzJee307rmrkt8c0g,0.00137,8.0,0.161,-3.805,1.0,0.0411,93.005,4.0,https://api.spotify.com/v1/tracks/2Xr1dTzJee307rmrkt8c0g,audio_features,spotify:track:2Xr1dTzJee307rmrkt8c0g,0.533
34,chasing after you (with maren morris),ryan hurd,0.723,https://api.spotify.com/v1/audio-analysis/1ZIKpMTRPqhwAoVXWY3tXI,0.596,207974.0,0.679,1ZIKpMTRPqhwAoVXWY3tXI,0.0,4.0,0.116,-6.395,1.0,0.0394,131.912,4.0,https://api.spotify.com/v1/tracks/1ZIKpMTRPqhwAoVXWY3tXI,audio_features,spotify:track:1ZIKpMTRPqhwAoVXWY3tXI,0.479
35,all i want for christmas is you,mariah carey,0.164,https://api.spotify.com/v1/audio-analysis/0bYg9bo50gSsH3LtXe2SQn,0.336,241107.0,0.627,0bYg9bo50gSsH3LtXe2SQn,0.0,7.0,0.0708,-7.463,1.0,0.0384,150.273,4.0,https://api.spotify.com/v1/tracks/0bYg9bo50gSsH3LtXe2SQn,audio_features,spotify:track:0bYg9bo50gSsH3LtXe2SQn,0.35
36,my universe,coldplay,0.00813,https://api.spotify.com/v1/audio-analysis/3FeVmId7tL5YN8B7R3imoM,0.588,228000.0,0.701,3FeVmId7tL5YN8B7R3imoM,0.0,9.0,0.2,-6.39,1.0,0.0402,104.988,4.0,https://api.spotify.com/v1/tracks/3FeVmId7tL5YN8B7R3imoM,audio_features,spotify:track:3FeVmId7tL5YN8B7R3imoM,0.443
37,buy dirt,jordan davis,0.639,https://api.spotify.com/v1/audio-analysis/69AIpwGNLxr4qS1X5ynx60,0.586,167480.0,0.559,69AIpwGNLxr4qS1X5ynx60,0.0,4.0,0.0872,-6.725,1.0,0.05,177.945,4.0,https://api.spotify.com/v1/tracks/69AIpwGNLxr4qS1X5ynx60,audio_features,spotify:track:69AIpwGNLxr4qS1X5ynx60,0.437
38,thats what i want,lil nas x,0.00614,https://api.spotify.com/v1/audio-analysis/0e8nrvls4Qqv5Rfa2UhqmO,0.737,143901.0,0.846,0e8nrvls4Qqv5Rfa2UhqmO,0.0,1.0,0.0486,-4.51,0.0,0.22,87.981,4.0,https://api.spotify.com/v1/tracks/0e8nrvls4Qqv5Rfa2UhqmO,audio_features,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,0.546
39,happier than ever,billie eilish,0.767,https://api.spotify.com/v1/audio-analysis/4RVwu0g32PAqgUiJoXsdF8,0.332,298899.0,0.225,4RVwu0g32PAqgUiJoXsdF8,0.00349,0.0,0.128,-8.697,1.0,0.0348,81.055,3.0,https://api.spotify.com/v1/tracks/4RVwu0g32PAqgUiJoXsdF8,audio_features,spotify:track:4RVwu0g32PAqgUiJoXsdF8,0.297
40,pepas,farruko,0.00776,https://api.spotify.com/v1/audio-analysis/5fwSHlTEWpluwOM0Sxnh5k,0.762,287120.0,0.766,5fwSHlTEWpluwOM0Sxnh5k,6.98E-05,7.0,0.128,-3.955,1.0,0.0343,130.001,4.0,https://api.spotify.com/v1/tracks/5fwSHlTEWpluwOM0Sxnh5k,audio_features,spotify:track:5fwSHlTEWpluwOM0Sxnh5k,0.442
41,you should probably leave,chris stapleton,0.268,https://api.spotify.com/v1/audio-analysis/2UikqkwBv7aIvlixeVXHWt,0.602,213493.0,0.477,2UikqkwBv7aIvlixeVXHWt,3.1E-05,9.0,0.173,-8.425,1.0,0.032,183.89,4.0,https://api.spotify.com/v1/tracks/2UikqkwBv7aIvlixeVXHWt,audio_features,spotify:track:2UikqkwBv7aIvlixeVXHWt,0.552
42,nothing new (feat. phoebe bridgers) (taylor’s version) (from the vault),taylor swift,0.817,https://api.spotify.com/v1/audio-analysis/01K4zKU104LyJ8gMb7227B,0.606,258813.0,0.377,01K4zKU104LyJ8gMb7227B,0.0,0.0,0.154,-9.455,1.0,0.0275,101.96,4.0,https://api.spotify.com/v1/tracks/01K4zKU104LyJ8gMb7227B,audio_features,spotify:track:01K4zKU104LyJ8gMb7227B,0.446
43,"who want smoke?? (feat. g herbo, lil durk & 21 savage)",nardo wick,0.0045,https://api.spotify.com/v1/audio-analysis/4yNoUQkYf1QF8iYlEzNynH,0.739,279853.0,0.74,4yNoUQkYf1QF8iYlEzNynH,0.0,5.0,0.161,-5.86,0.0,0.333,75.575,4.0,https://api.spotify.com/v1/tracks/4yNoUQkYf1QF8iYlEzNynH,audio_features,spotify:track:4yNoUQkYf1QF8iYlEzNynH,0.488
44,message in a bottle (taylor's version) (from the vault),taylor swift,0.00188,https://api.spotify.com/v1/audio-analysis/3z6XUommYDWPHeFhmhhT6j,0.622,225960.0,0.791,3z6XUommYDWPHeFhmhhT6j,3.72E-06,7.0,0.083,-6.106,1.0,0.0535,115.915,4.0,https://api.spotify.com/v1/tracks/3z6XUommYDWPHeFhmhhT6j,audio_features,spotify:track:3z6XUommYDWPHeFhmhhT6j,0.494
45,i knew you were trouble (taylor's version),taylor swift,0.0129,https://api.spotify.com/v1/audio-analysis/6AtZLIzUINvExIUy4QhdjP,0.584,219760.0,0.557,6AtZLIzUINvExIUy4QhdjP,0.0,6.0,0.0576,-6.371,1.0,0.0342,154.008,4.0,https://api.spotify.com/v1/tracks/6AtZLIzUINvExIUy4QhdjP,audio_features,spotify:track:6AtZLIzUINvExIUy4QhdjP,0.767
46,run (feat. ed sheeran) (taylor’s version) (from the vault),taylor swift,0.817,https://api.spotify.com/v1/audio-analysis/4IQkfUsrwXol38VV3U7t7T,0.61,240227.0,0.488,4IQkfUsrwXol38VV3U7t7T,0.0,3.0,0.312,-6.918,1.0,0.0293,125.039,4.0,https://api.spotify.com/v1/tracks/4IQkfUsrwXol38VV3U7t7T,audio_features,spotify:track:4IQkfUsrwXol38VV3U7t7T,0.443
