,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,cluster
108,0.978,0.367,196077.0,0.111,3.97e-05,4.0,0.0897,-14.084,1.0,0.0972,82.642,4.0,0.198,6
109,0.932,0.632,245897.0,0.284,0.000476,9.0,0.233,-14.025,0.0,0.0801,129.642,4.0,0.208,6
110,0.222,0.895,196731.0,0.389,0.0346,7.0,0.105,-11.036,0.0,0.11,110.023,4.0,0.549,2
111,0.213,0.749,164052.0,0.832,0.276,5.0,0.728,-8.415,0.0,0.0408,120.046,4.0,0.487,10
112,0.0699,0.677,157601.0,0.876,0.0,4.0,0.342,-7.289,1.0,0.171,159.98,4.0,0.798,1
113,0.795,0.444,208155.0,0.309,0.132,8.0,0.352,-10.956,1.0,0.062,104.745,4.0,0.0875,6
114,0.218,0.889,174321.0,0.34,0.13,11.0,0.055,-7.773,0.0,0.0697,94.009,4.0,0.716,2
115,0.939,0.333,234236.0,0.0175,0.505,4.0,0.0776,-27.826,0.0,0.0349,80.027,4.0,0.0606,5
116,0.333,0.441,177523.0,0.599,0.00198,0.0,0.103,-8.985,1.0,0.225,165.212,4.0,0.35,7
117,0.702,0.526,212496.0,0.334,0.00782,10.0,0.0586,-8.491,0.0,0.251,74.966,4.0,0.522,2
118,0.0904,0.757,210233.0,0.598,0.551,11.0,0.15,-7.777,1.0,0.058,124.951,4.0,0.18,3
119,0.737,0.483,203569.0,0.412,0.0,7.0,0.116,-8.461,1.0,0.0402,170.163,3.0,0.247,0
120,0.816,0.511,200379.0,0.363,0.0317,4.0,0.084,-7.65,0.0,0.041,144.892,4.0,0.169,6
121,0.274,0.631,613027.0,0.518,0.0,0.0,0.088,-8.771,1.0,0.0303,93.023,4.0,0.205,1
122,0.0716,0.535,352200.0,0.618,0.000388,8.0,0.169,-3.913,1.0,0.0273,81.975,4.0,0.228,4
123,0.131,0.617,236267.0,0.741,0.0,2.0,0.0772,-3.97,1.0,0.0311,118.984,4.0,0.306,1
124,0.178,0.687,232120.0,0.745,1.59e-05,6.0,0.111,-4.432,1.0,0.0379,129.966,4.0,0.435,4
125,0.0709,0.553,220440.0,0.664,0.0056,8.0,0.106,-7.417,1.0,0.0741,140.06,4.0,0.467,4
126,0.0647,0.647,219200.0,0.8,0.0,7.0,0.334,-5.384,1.0,0.165,160.078,4.0,0.942,4
127,0.778,0.298,285634.0,0.38,5.62e-05,6.0,0.11,-8.426,1.0,0.0287,75.602,4.0,0.152,6
128,0.103,0.76,231827.0,0.703,0.0,5.0,0.0913,-5.412,1.0,0.054,95.997,4.0,0.57,4
129,0.00245,0.588,231000.0,0.791,0.00258,7.0,0.118,-5.595,1.0,0.0402,94.933,4.0,0.487,4
130,0.661,0.623,264253.0,0.279,0.0,0.0,0.193,-10.802,1.0,0.031,116.04,4.0,0.38,6
131,0.00955,0.691,220520.0,0.736,1.88e-05,5.0,0.101,-6.974,1.0,0.0326,125.089,4.0,0.612,4
132,0.663,0.445,321640.0,0.131,1.57e-06,7.0,0.108,-13.778,1.0,0.0564,208.918,3.0,0.101,0
133,0.091,0.534,225149.0,0.725,0.0,1.0,0.0264,-3.906,1.0,0.046,88.098,4.0,0.55,1
134,0.893,0.556,285240.0,0.319,0.0,9.0,0.0996,-8.251,1.0,0.0281,135.187,4.0,0.294,6
135,0.829,0.339,389107.0,0.492,0.00377,1.0,0.147,-10.661,1.0,0.0559,151.865,4.0,0.102,6
136,0.697,0.437,376169.0,0.565,0.0,10.0,0.119,-5.596,1.0,0.0466,115.389,4.0,0.306,6
137,0.536,0.495,285935.0,0.323,0.0,9.0,0.109,-6.901,0.0,0.0275,109.731,4.0,0.14,6
138,0.138,0.73,228093.0,0.769,0.0,8.0,0.0473,-5.114,1.0,0.0298,104.948,4.0,0.507,4
139,0.0171,0.703,210384.0,0.68,0.0,9.0,0.178,-6.118,0.0,0.0431,97.985,4.0,0.536,2
140,0.798,0.387,182163.0,0.253,0.000159,5.0,0.0848,-8.901,1.0,0.0336,68.004,5.0,0.134,6
141,0.322,0.372,290900.0,0.566,0.0,3.0,0.0953,-6.779,1.0,0.0519,146.399,4.0,0.28,7
142,0.291,0.616,210507.0,0.47,0.0,5.0,0.111,-6.092,0.0,0.0253,80.03,4.0,0.325,8
143,0.00408,0.603,242974.0,0.67,1.68e-06,2.0,0.112,-3.882,0.0,0.0249,107.993,4.0,0.446,8
144,0.523,0.756,255278.0,0.713,3.35e-06,7.0,0.248,-6.917,1.0,0.102,125.064,4.0,0.59,4
145,0.907,0.317,212040.0,0.172,0.000383,10.0,0.105,-10.636,1.0,0.0326,65.18,3.0,0.0963,0
146,0.843,0.356,403962.0,0.176,0.0,8.0,0.231,-8.291,1.0,0.0391,170.425,1.0,0.289,0
147,0.0347,0.691,223079.0,0.51,3.32e-06,6.0,0.182,-9.217,0.0,0.0878,164.055,4.0,0.515,2
148,0.858,0.366,366004.0,0.364,1.15e-05,0.0,0.165,-7.814,1.0,0.0433,165.902,4.0,0.459,6
149,0.315,0.585,295502.0,0.409,0.0,8.0,0.0873,-6.957,1.0,0.0293,78.983,4.0,0.284,6
150,0.67,0.734,161829.0,0.497,2.35e-05,8.0,0.194,-9.666,1.0,0.166,127.989,3.0,0.307,0
151,0.417,0.346,286480.0,0.552,0.0,0.0,0.114,-6.864,0.0,0.0282,75.881,4.0,0.0789,8
152,0.749,0.594,300248.0,0.37,3.2e-05,4.0,0.132,-10.561,0.0,0.173,145.601,4.0,0.329,6
153,0.615,0.612,223267.0,0.749,0.0,0.0,0.167,-5.014,1.0,0.0446,120.052,4.0,0.574,1
154,0.453,0.269,403044.0,0.591,0.000695,10.0,0.0702,-5.79,0.0,0.0416,183.793,4.0,0.228,7
155,0.889,0.59,271800.0,0.269,0.0,4.0,0.111,-6.341,1.0,0.0284,141.924,4.0,0.357,6
156,0.0156,0.591,240439.0,0.804,4.95e-06,5.0,0.111,-7.35,0.0,0.0603,94.983,4.0,0.507,8
157,0.00323,0.409,268093.0,0.71,0.0,7.0,0.116,-4.918,0.0,0.0325,95.248,3.0,0.438,2
158,0.0962,0.558,219187.0,0.689,0.0,2.0,0.194,-4.89,0.0,0.0408,148.118,4.0,0.546,8
159,0.95,0.353,250000.0,0.446,1.35e-05,0.0,0.132,-6.044,0.0,0.0285,155.476,4.0,0.211,6
160,0.893,0.397,245427.0,0.279,0.0,2.0,0.154,-7.331,1.0,0.0399,165.101,3.0,0.258,0
161,0.741,0.299,252707.0,0.468,0.648,0.0,0.108,-8.459,0.0,0.0328,114.759,4.0,0.381,3
162,0.214,0.644,243200.0,0.4,0.0,3.0,0.0866,-5.713,1.0,0.0304,115.025,4.0,0.227,1
163,0.038,0.389,183567.0,0.768,0.0,1.0,0.119,-4.765,1.0,0.256,90.146,4.0,0.334,1
164,0.41,0.724,171429.0,0.5,0.0,5.0,0.115,-7.112,0.0,0.259,97.694,4.0,0.317,8
165,0.213,0.662,161385.0,0.413,0.0,0.0,0.134,-7.357,1.0,0.0299,93.005,4.0,0.467,1
166,0.0383,0.779,153147.0,0.642,0.0,8.0,0.2,-6.321,0.0,0.116,82.363,4.0,0.388,2
167,0.0928,0.671,216000.0,0.639,0.0,2.0,0.0941,-6.852,0.0,0.134,119.82,5.0,0.385,8
168,0.291,0.701,160212.0,0.65,0.0,6.0,0.112,-6.313,1.0,0.104,90.003,4.0,0.647,4
169,0.157,0.487,181688.0,0.74,0.0,6.0,0.612,-4.973,1.0,0.0944,73.779,4.0,0.522,10
170,0.0693,0.721,144860.0,0.632,0.0,5.0,0.291,-6.695,0.0,0.0358,92.057,4.0,0.296,8
171,0.165,0.89,114865.0,0.53,0.0,9.0,0.106,-9.891,1.0,0.362,127.889,4.0,0.644,11
172,0.232,0.719,126521.0,0.598,0.0,9.0,0.115,-6.254,1.0,0.077,142.592,4.0,0.303,4
173,0.0442,0.762,151705.0,0.426,0.0,8.0,0.0858,-6.865,1.0,0.113,167.827,4.0,0.582,4
174,0.135,0.479,168729.0,0.645,0.0,5.0,0.0825,-7.336,0.0,0.302,155.057,4.0,0.381,11
175,0.00728,0.686,172005.0,0.703,0.0,6.0,0.0946,-6.141,0.0,0.0606,144.902,4.0,0.457,2
176,0.173,0.655,161385.0,0.469,0.0,0.0,0.0956,-6.257,1.0,0.0292,92.56,4.0,0.467,1
177,0.0681,0.63,135227.0,0.707,0.0,5.0,0.284,-3.632,1.0,0.0508,86.849,4.0,0.285,4
178,0.0663,0.613,158033.0,0.631,0.0,4.0,0.169,-6.965,1.0,0.12,149.992,4.0,0.33,7
179,0.737,0.495,158324.0,0.333,0.0,4.0,0.112,-10.109,0.0,0.0288,99.757,4.0,0.37,6
180,0.059,0.523,139041.0,0.609,0.0,1.0,0.14,-7.802,1.0,0.191,154.051,4.0,0.374,7
181,0.365,0.479,252733.0,0.545,0.0,7.0,0.0963,-7.346,1.0,0.0688,74.897,4.0,0.244,6
182,0.627,0.375,223270.0,0.461,0.0,9.0,0.386,-6.202,1.0,0.0279,75.217,4.0,0.233,6
183,0.468,0.412,166688.0,0.657,0.0,6.0,0.318,-5.535,0.0,0.124,76.342,4.0,0.625,8
184,0.0155,0.901,163574.0,0.49,0.0,5.0,0.109,-9.099,0.0,0.129,135.015,4.0,0.397,8
185,0.109,0.6,195268.0,0.723,0.0,6.0,0.167,-4.928,0.0,0.158,149.881,4.0,0.463,2
186,0.431,0.454,150888.0,0.718,0.0,8.0,0.163,-5.084,0.0,0.107,141.556,4.0,0.275,2
187,0.553,0.536,142418.0,0.482,0.0,2.0,0.123,-6.749,1.0,0.0311,90.966,4.0,0.185,6
188,0.406,0.726,179252.0,0.414,0.0,9.0,0.0713,-12.296,0.0,0.269,150.009,4.0,0.47,2
189,0.135,0.676,93176.0,0.494,0.0,2.0,0.0995,-7.077,1.0,0.261,169.685,4.0,0.756,1
190,0.217,0.495,272947.0,0.653,0.000458,7.0,0.334,-6.769,0.0,0.0361,80.897,4.0,0.571,8
191,0.0421,0.752,162819.0,0.631,0.0,7.0,0.188,-6.809,1.0,0.0495,124.983,4.0,0.502,4
192,0.0319,0.53,134303.0,0.673,0.0,0.0,0.148,-6.851,1.0,0.0584,160.886,4.0,0.406,1
193,6.52e-05,0.584,212400.0,0.699,6.05e-05,1.0,0.486,-6.065,0.0,0.0378,82.499,4.0,0.585,8
194,0.0662,0.747,133724.0,0.487,0.0,7.0,0.36,-7.064,1.0,0.125,92.978,4.0,0.248,4
195,0.109,0.775,208787.0,0.613,2.33e-05,3.0,0.134,-4.586,0.0,0.0542,100.066,4.0,0.797,8
196,0.0586,0.538,179806.0,0.821,0.0,6.0,0.299,-5.676,0.0,0.0309,159.939,4.0,0.544,2
197,0.215,0.793,186459.0,0.531,0.0,7.0,0.105,-8.777,1.0,0.0967,138.496,4.0,0.591,4
198,0.042,0.71,122279.0,0.713,0.0,11.0,0.181,-5.229,1.0,0.22,158.109,4.0,0.568,4
199,0.0551,0.754,104693.0,0.836,0.0,8.0,0.265,-5.991,0.0,0.29,76.528,4.0,0.244,2
200,0.801,0.484,117857.0,0.383,0.0,8.0,0.178,-8.409,1.0,0.0531,102.565,3.0,0.235,0
201,0.12,0.549,130927.0,0.7,0.0,4.0,0.133,-6.07,0.0,0.0392,82.604,4.0,0.212,8
202,0.0696,0.741,146756.0,0.573,0.0,9.0,0.142,-11.123,1.0,0.279,143.987,4.0,0.159,11
203,0.00198,0.73,108442.0,0.545,0.0212,9.0,0.167,-9.562,1.0,0.0989,142.052,3.0,0.286,4
204,0.152,0.356,193733.0,0.684,0.0,8.0,0.101,-7.347,1.0,0.0878,87.188,4.0,0.347,4
205,0.342,0.703,114893.0,0.594,0.0,5.0,0.123,-6.146,0.0,0.0752,153.848,4.0,0.475,8
206,0.0533,0.878,157067.0,0.619,0.0,6.0,0.113,-5.56,1.0,0.102,136.041,4.0,0.639,4
207,0.0427,0.841,174164.0,0.527,1.54e-06,6.0,0.12,-8.116,1.0,0.149,163.975,4.0,0.582,4
208,0.263,0.688,147333.0,0.534,0.0,0.0,0.343,-8.846,1.0,0.0419,90.026,4.0,0.412,1
209,0.139,0.706,158707.0,0.679,6.98e-05,9.0,0.465,-5.614,1.0,0.0324,140.081,4.0,0.657,4
